name,loc,drainage,lat,lng,maps_link
Africa Avenue Road,Madhav Rao Schindia Marg,20%,28.5778,77.2025,"https://www.google.com/maps?q=28.5778,77.2025"
Akbar Road,C-Hexagon Crossing,50%,28.6129,77.2295,"https://www.google.com/maps?q=28.6129,77.2295"
Anuvrat Marg,Lado Sarai towards City Hospital,15%,28.5128,77.1864,"https://www.google.com/maps?q=28.5128,77.1864"
Ashok Vihar Road,Near Bartan Market,18%,28.6912,77.1755,"https://www.google.com/maps?q=28.6912,77.1755"
Ashoka Road,Buta Singh Roundabout,45%,28.6212,77.2195,"https://www.google.com/maps?q=28.6212,77.2195"
Aurobindo Marg,INA Towards AIIMS Underpass,10%,28.5674,77.21,"https://www.google.com/maps?q=28.5674,77.21"
Aurobindo Marg,IIT / Adhchini Redlight,12%,28.5414,77.1979,"https://www.google.com/maps?q=28.5414,77.1979"
Aurobindo Marg,Malviya Nagar Metro Station,15%,28.5356,77.2036,"https://www.google.com/maps?q=28.5356,77.2036"
Bhairon Marg,Near Bhairon Mandir,12%,28.6145,77.2478,"https://www.google.com/maps?q=28.6145,77.2478"
Boulevard Road,Tis Hazari Metro Station,18%,28.6675,77.2185,"https://www.google.com/maps?q=28.6675,77.2185"
BSZ Marg,ITO Chowk,25%,28.6302,77.2435,"https://www.google.com/maps?q=28.6302,77.2435"
Dabri Flyover,Loop from Dabri side,20%,28.6085,77.0864,"https://www.google.com/maps?q=28.6085,77.0864"
Dwarka Link Road,Dwarka Underpass,8%,28.5521,77.0594,"https://www.google.com/maps?q=28.5521,77.0594"
Dwarka Road,Palam Flyover / Sector-1,15%,28.5815,77.0755,"https://www.google.com/maps?q=28.5815,77.0755"
GT Road,Seelampur Flyover / Loha Pul,7%,28.6631,77.2458,"https://www.google.com/maps?q=28.6631,77.2458"
GTK Road,Azad Pur Underpass,10%,28.7067,77.1812,"https://www.google.com/maps?q=28.7067,77.1812"
GTK Road,Libaspur Underpass,12%,28.7505,77.1444,"https://www.google.com/maps?q=28.7505,77.1444"
Hardev Sahai Road,Kashmere Gate Metro,15%,28.6668,77.2345,"https://www.google.com/maps?q=28.6668,77.2345"
Lala Lajpat Rai Marg,Moolchand Underpass,18%,28.5658,77.2344,"https://www.google.com/maps?q=28.5658,77.2344"
Lala Lajpat Rai Marg,Lodhi Flyover,20%,28.5878,77.2355,"https://www.google.com/maps?q=28.5878,77.2355"
Kanjhawala Road,Cygnus Hospital to Karala,10%,28.7335,77.0456,"https://www.google.com/maps?q=28.7335,77.0456"
MB Road,Pul Prahladpur Underpass,5%,28.4988,77.2882,"https://www.google.com/maps?q=28.4988,77.2882"
MB Road,Khanpur T-Point to Hamdard,15%,28.5204,77.2346,"https://www.google.com/maps?q=28.5204,77.2346"
MB Road,Saket Metro Station,25%,28.5205,77.2007,"https://www.google.com/maps?q=28.5205,77.2007"
MG Road,Andheria Mor,30%,28.5025,77.1705,"https://www.google.com/maps?q=28.5025,77.1705"
Mahipalpur Road,Mahipalpur Underpass,15%,28.5484,77.1245,"https://www.google.com/maps?q=28.5484,77.1245"
Mathura Road,Mohan Estate / Badarpur,22%,28.5175,77.2915,"https://www.google.com/maps?q=28.5175,77.2915"
Mathura Road,Near ZOO,40%,28.6125,77.245,"https://www.google.com/maps?q=28.6125,77.245"
Minto Road,Minto Bridge Underpass,5%,28.6338,77.2307,"https://www.google.com/maps?q=28.6338,77.2307"
